HOG0000001	PCA001	maximal+minimal	N211[Pmax+min]	211	.	0		ENSLPGP00000040811.1;ENSLPGP00000029680.1	18	ok
HOG0000118	PCA001	maximal+minimal	N25[Pmax+min]	25	.	0		ENSLPGP00000041125.1;ENSLPGP00000041132.1	5	ok
HOG0000120	PCA002	minimal	N10[Pmin]	10	.	0	g6652;g11978;g12764;g3689;g4764;g11904	ENSLPGP00000032064.1	31	ok
HOG0000463	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g305	ENSLPGP00000040609.1	10	ok
HOG0000617	PCA001	maximal+minimal	N0[Pmax+min]	0	.	0	g3749	ENSLPGP00000020965.1	11	ok
HOG0000637	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g9382	ENSLPGP00000005464.1	11	ok
HOG0000920	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g11802	ENSLPGP00000028791.1	9	ok
HOG0001003	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g480;g10741	ENSLPGP00000014953.1;ENSLPGP00000014847.1	22	ok
HOG0001117	PCA001	maximal+minimal	N2[Pmax+min]	2	.	0	g1152	ENSLPGP00000026392.1	9	ok
HOG0001373	PCA001	maximal+minimal	N114[Pmax+min]	114	.	0	g9410;g9409	ENSLPGP00000024228.1	9	ok
HOG0001486	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g9818	ENSLPGP00000040980.1	4	ok
HOG0002440	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g7212	ENSLPGP00000015682.1	8	ok
HOG0002673	PCA001	maximal+minimal	N55[Pmax+min]	55	.	0	g8559	ENSLPGP00000028639.1	9	ok
HOG0004960	PCA001	maximal+minimal	N142[Pmax+min]	142	.	0	g5866	ENSLPGP00000000061.1	10	ok
HOG0004963	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g5710	ENSLPGP00000000207.1	12	ok
HOG0004969	PCA001	maximal+minimal	N9[Pmax+min]	9	.	0	g2959	ENSLPGP00000000355.1	12	ok
HOG0004985	PCA002	minimal	N47[Pmin]	47	.	0	g8158	ENSLPGP00000000681.1	9	ok
HOG0004987	PCA001	maximal+minimal	N99[Pmax+min]	99	.	0	g6529		8	ok
HOG0005001	PCA001	maximal+minimal	N86[Pmax+min]	86	.	0	g8482	ENSLPGP00000001090.1	10	ok
HOG0005004	PCA001	maximal+minimal	N2[Pmax+min]	2	.	0	g2551	ENSLPGP00000001138.1	8	ok
HOG0005023	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g6656	ENSLPGP00000001635.1	6	ok
HOG0005027	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g6436	ENSLPGP00000001678.1	4	ok
HOG0005031	PCA001	maximal+minimal	N107[Pmax+min]	107	.	0	g919	ENSLPGP00000001735.1;ENSLPGP00000001722.1	10	ok
HOG0005038	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g2458	ENSLPGP00000001782.1	5	ok
HOG0005039	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g3908	ENSLPGP00000001785.1	13	ok
HOG0005044	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g2232	ENSLPGP00000001959.1	8	ok
HOG0005045	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g5955	ENSLPGP00000001964.1	10	ok
HOG0005058	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g2750	ENSLPGP00000002266.1	10	ok
HOG0005084	PCA001	maximal+minimal	N62[Pmax+min]	62	.	0	g3443	ENSLPGP00000002671.1	11	ok
HOG0005086	PCA001	maximal+minimal	N30[Pmax+min]	30	.	0		ENSLPGP00000027904.1;ENSLPGP00000024276.1	11	ok
HOG0005086	PCA003	minimal	N75[Pmin]	75	.	0	g10086	ENSLPGP00000026212.1	7	ok
HOG0005086	PCA004	minimal	N88[Pmin]	88	.	0	g8245	ENSLPGP00000026628.1	8	ok
HOG0005102	PCA001	maximal+minimal	N1[Pmax+min]	1	.	0	g9907	ENSLPGP00000003000.1	10	ok
